family,variable,forced_value,status,fleet_size,chained,objective,min_fleet_reachable,objective_reachable,solved
chaining,"(107, (296000081, 294100341))",1,Optimal,31,101,87.26201666666667,True,False,True
chaining,"(107, (296000081, 200000382))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200000382))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294100344))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100344))",1,Optimal,31,101,87.39065000000002,True,False,True
chaining,"(107, (296000081, 294100345))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100345))",1,Optimal,31,101,87.26201666666668,True,False,True
chaining,"(107, (296000081, 295200235))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 295200235))",1,Optimal,32,100,86.39065000000001,False,False,True
chaining,"(107, (296000081, 294100361))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100361))",1,Optimal,32,100,86.26201666666668,False,False,True
chaining,"(107, (296000081, 294200141))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294200141))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294200138))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294200138))",1,Optimal,31,101,87.39065000000002,True,False,True
chaining,"(107, (296000081, 295700445))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 295700445))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 295800465))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 295800465))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 200090404))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200090404))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 295800463))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 295800463))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294100348))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100348))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294100349))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100349))",1,Optimal,31,101,87.2620166666667,True,False,True
chaining,"(107, (296000081, 294100352))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100352))",1,Optimal,32,100,86.39065000000002,False,False,True
chaining,"(107, (296000081, 294100353))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100353))",1,Optimal,31,101,87.26201666666667,True,False,True
chaining,"(107, (296000081, 294200175))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294200175))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294100147))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100147))",1,Optimal,31,101,86.95460000000001,True,False,True
chaining,"(107, (296000081, 200090123))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200090123))",1,Optimal,31,101,87.39065000000001,True,False,True
chaining,"(107, (296000081, 294200148))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294200148))",1,Optimal,31,101,86.91550000000001,True,False,True
chaining,"(107, (296000081, 200000121))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 200000121))",1,Optimal,31,101,87.39065000000002,True,False,True
chaining,"(107, (296000081, 294100132))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (296000081, 294100132))",1,Optimal,31,101,87.28355000000002,True,False,True
chaining,"(107, (295900043, 296000081))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 296000081))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 296000105))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 296000105))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 296000097))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 296000097))",1,Optimal,31,101,87.63148333333336,True,True,True
chaining,"(107, (295900043, 296000100))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 296000100))",1,Optimal,31,101,87.63148333333336,True,True,True
chaining,"(107, (295900043, 200000230))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200000230))",1,Optimal,32,100,85.89680000000001,False,False,True
chaining,"(107, (295900043, 294400173))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294400173))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 294300167))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294300167))",1,Optimal,31,101,87.23113333333335,True,False,True
chaining,"(107, (295900043, 294300215))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294300215))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 294300216))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294300216))",1,Optimal,31,101,86.89680000000001,True,False,True
chaining,"(107, (295900043, 294300217))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294300217))",1,Optimal,31,101,87.63148333333336,True,True,True
chaining,"(107, (295900043, 200090709))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200090709))",1,Optimal,31,101,86.89774444444446,True,False,True
chaining,"(107, (295900043, 294100713))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294100713))",1,Optimal,31,101,86.89774444444446,True,False,True
chaining,"(107, (295900043, 200090702))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200090702))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 296000091))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 296000091))",1,Optimal,31,101,87.63148333333334,True,True,True
chaining,"(107, (295900043, 294300226))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294300226))",1,Optimal,32,100,85.89680000000001,False,False,True
chaining,"(107, (295900043, 294100827))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294100827))",1,Optimal,31,101,87.1385777777778,True,False,True
chaining,"(107, (295900043, 294100826))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294100826))",1,Optimal,32,100,86.39320000000001,False,False,True
chaining,"(107, (295900043, 294100824))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294100824))",1,Optimal,31,101,87.1846666666667,True,False,True
chaining,"(107, (295900043, 200000229))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200000229))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 294300165))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294300165))",1,Optimal,31,101,87.23113333333335,True,False,True
chaining,"(107, (295900043, 294400182))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294400182))",1,Optimal,31,101,87.63148333333335,True,True,True
chaining,"(107, (295900043, 294300211))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294300211))",1,Optimal,31,101,87.63148333333334,True,True,True
chaining,"(107, (295900043, 200090219))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200090219))",1,Optimal,31,101,87.63148333333334,True,True,True
chaining,"(107, (295900043, 294300220))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 294300220))",1,Optimal,31,101,86.89680000000001,True,False,True
chaining,"(107, (295900043, 200000221))",0,Optimal,31,101,87.63148333333335,True,True,False
chaining,"(107, (295900043, 200000221))",1,Optimal,31,101,87.63148333333336,True,True,True
